Hospital,insurance_provider,total_billing,pct_of_hospital_revenue
Jennings-Flores,Blue Cross,44174.17,100
Jennings-Hampton,Aetna,27349.68,100
Jennings-Marshall,Cigna,15278.44,100
Jennings-Salinas,Medicare,49071.62,100
Jensen Group,UnitedHealthcare,44649.88,100
Jensen Inc,Medicare,27881.59,100
Jensen Ltd,Cigna,16236.09,100
"Jensen, Beasley and Elliott",UnitedHealthcare,13911.05,100
"Jensen, Griffith and Bennett",Medicare,47341.36,100
"Jensen, Kemp and Vega",Blue Cross,22519.03,100
"Jensen, Williams and Baker",Medicare,17960.33,100
Jensen-Davis,Cigna,21587.36,100
Jensen-Holland,Aetna,48480.84,100
Jensen-Howard,Blue Cross,12042.41,100
Jensen-Mcdonald,Cigna,10226.81,100
Jensen-Roberts,UnitedHealthcare,32750.14,100
Jimenez LLC,Cigna,4995.14,100
Jimenez and Sons,Cigna,33087.39,100
"Jimenez, Goodman and Owens",Medicare,5342.11,100
"Jimenez, Myers and Bennett",Blue Cross,49295.46,100
"Jimenez, Riley and Hall",UnitedHealthcare,22080.99,100
"Jimenez, Robbins and Williams",Cigna,12745.44,100
Jimenez-Andrade,Cigna,22862.21,100
Jimenez-Cannon,UnitedHealthcare,19901.46,100
Jimenez-Cross,Medicare,18173.05,100
Jimenez-Jackson,Cigna,15620.25,100
Jimenez-Johnson,Cigna,36311.61,100
Jimenez-Martin,Aetna,4852.94,100
Jimenez-Moran,Cigna,6391.16,100
Jimenez-Peterson,UnitedHealthcare,11018.94,100
Johns Group,Medicare,16246.59,100
Johns PLC,Medicare,39686.41,100
Johns and Sons,Aetna,18717.31,100
"Johns, Combs and Adams",Blue Cross,28906.59,100
"Johns, Mason and Smith",Cigna,38815.75,100
"Johns, Stephens and Holmes",Medicare,41423.11,100
Johns-Hodge,UnitedHealthcare,27058.63,100
Johnson Group,Medicare,58921.27,30.17
Johnson Group,UnitedHealthcare,49374.05,25.28
Johnson Group,Blue Cross,35773.1,18.32
Johnson Inc,Medicare,88494.53,44.67
Johnson Inc,Blue Cross,45738.96,23.09
Johnson Inc,Cigna,22979.5,11.6
Johnson LLC,Cigna,100062.87,46.68
Johnson LLC,Medicare,80657.16,37.63
Johnson LLC,Blue Cross,18139.94,8.46
Johnson Ltd,Medicare,129484.26,42.32
Johnson Ltd,Cigna,89013.21,29.09
Johnson Ltd,Aetna,44957.01,14.69
Johnson PLC,UnitedHealthcare,114914.7,42.6
Johnson PLC,Cigna,59225.8,21.95
Johnson PLC,Medicare,56332.68,20.88
Johnson and Sons,Blue Cross,107128.15,60.2
Johnson and Sons,Medicare,26855.47,15.09
Johnson and Sons,Aetna,24676.96,13.87
"Johnson, Anderson and Moss",Medicare,27050.27,100
"Johnson, Anderson and Schmidt",Blue Cross,2136.71,100
"Johnson, Arias and Garcia",Aetna,5963.31,100
"Johnson, Barnett and Hutchinson",UnitedHealthcare,13026.57,100
"Johnson, Brewer and Hudson",Medicare,10705.1,100
"Johnson, Briggs and Hodges",Cigna,14842.79,100
"Johnson, Brown and Henderson",Cigna,21643.1,100
"Johnson, Bryant and Adams",Medicare,22479.16,100
"Johnson, Burns and Bowen",UnitedHealthcare,15742.94,100
"Johnson, Carlson and Pratt",UnitedHealthcare,39086.99,100
"Johnson, Collins and Downs",Aetna,20948.27,100
"Johnson, Collins and Walker",Aetna,40441.97,100
"Johnson, Combs and Walter",UnitedHealthcare,29718.08,100
"Johnson, Cook and Morris",Cigna,4002.82,100
"Johnson, Dalton and Foley",Blue Cross,42620.34,100
"Johnson, Daniels and Walker",Cigna,15313.48,100
"Johnson, Davis and Lee",Cigna,38349.77,100
"Johnson, Escobar and Anderson",Medicare,37830.24,100
"Johnson, Foster and Lyons",Cigna,46913.26,100
"Johnson, Francis and Lopez",Blue Cross,23127.22,100
"Johnson, French and Wilson",Aetna,39694.17,100
"Johnson, Frey and Castaneda",Medicare,12644.31,100
"Johnson, Frye and Fields",Cigna,23486.28,100
"Johnson, Garza and Quinn",Aetna,1621.83,100
"Johnson, George and Shelton",Cigna,21965.08,100
"Johnson, Graham and Gregory",Blue Cross,17436.02,100
"Johnson, Green and Brady",Aetna,36371.68,100
"Johnson, Greer and Gibson",Blue Cross,30068.87,100
"Johnson, Guzman and Jordan",Blue Cross,16284.26,100
"Johnson, Hanson and Kaiser",Blue Cross,38062.53,100
"Johnson, Harrison and Richard",Aetna,9900.17,100
"Johnson, Hinton and Gallagher",Aetna,44595.21,100
"Johnson, Holmes and Sandoval",Aetna,28010.77,100
"Johnson, Hull and Pratt",Blue Cross,32000.2,100
"Johnson, Juarez and Schroeder",Medicare,8940.97,100
"Johnson, King and Hart",Cigna,35824.28,100
"Johnson, Knox and Armstrong",Blue Cross,28085.32,100
"Johnson, Krause and Harris",Blue Cross,29362.31,100
"Johnson, Lyons and Allison",Aetna,10105.21,100
"Johnson, Mayo and Allen",Aetna,29342.93,100
"Johnson, Mcclain and Paul",Cigna,32598.27,100
"Johnson, Miller and Andrews",Blue Cross,12802.5,100
"Johnson, Mitchell and Stuart",UnitedHealthcare,17769.12,100
"Johnson, Molina and Lewis",Cigna,16846,100
"Johnson, Morgan and Rios",Medicare,47367.36,100
"Johnson, Morris and King",Blue Cross,15372.32,100
"Johnson, Morris and Shields",Blue Cross,19995.02,100
"Johnson, Mullen and Rivera",Blue Cross,11573.05,100
"Johnson, Nunez and Maxwell",Cigna,30800.87,100
"Johnson, Porter and Chavez",Blue Cross,16912.61,100
"Johnson, Powell and Miller",Cigna,38288.99,100
"Johnson, Ramirez and Brown",UnitedHealthcare,14532.24,100
"Johnson, Richardson and Sims",UnitedHealthcare,7377.72,100
"Johnson, Robinson and Wells",Blue Cross,18095.29,100
"Johnson, Rodriguez and Martin",UnitedHealthcare,27613.68,100
"Johnson, Ruiz and Mccoy",Blue Cross,17806.09,100
"Johnson, Ryan and Maxwell",UnitedHealthcare,30805.32,100
"Johnson, Shea and Hernandez",Medicare,27764.17,100
"Johnson, Smith and Clark",Cigna,5470.21,100
"Johnson, Smith and Stevenson",Cigna,34476.62,100
"Johnson, Smith and Winters",Cigna,15576.11,100
"Johnson, Stephenson and Meyer",UnitedHealthcare,49401.13,100
"Johnson, Thompson and Buchanan",Medicare,8637.79,100
"Johnson, Thompson and Robertson",Medicare,24876.77,100
"Johnson, Wagner and Fields",Cigna,35017.45,100
"Johnson, Walters and Holden",Cigna,1779.16,100
"Johnson, Williams and Allen",UnitedHealthcare,15224.86,100
"Johnson, Williams and Bennett",Blue Cross,9726.26,100
"Johnson, Williams and Harris",Cigna,6252.47,100
"Johnson, Wood and Cruz",Medicare,25005.57,100
"Johnson, Young and Liu",Cigna,29767.98,100
Johnson-Alexander,Medicare,29685.08,100
Johnson-Barker,UnitedHealthcare,17301.88,100
Johnson-Christensen,Cigna,36694.77,100
Johnson-Clark,Blue Cross,2949.04,100
Johnson-Collins,Blue Cross,20216.31,100
Johnson-Conner,Aetna,31866.12,100
Johnson-Cortez,Medicare,12547.1,100
Johnson-Diaz,UnitedHealthcare,34231.8,100
Johnson-Donaldson,Medicare,10059.58,100
Johnson-Ellis,Blue Cross,43028.01,100
Johnson-Espinoza,Medicare,4499.89,100
Johnson-Graham,Cigna,36127.45,100
Johnson-Haney,Cigna,49423.5,100
Johnson-Hernandez,Blue Cross,32522.5,100
Johnson-Hobbs,Medicare,3537.17,100
Johnson-Huffman,Aetna,3841.9,100
Johnson-Jackson,UnitedHealthcare,29405.68,100
Johnson-James,Blue Cross,10879.11,100
Johnson-Johnson,UnitedHealthcare,25854.27,69.33
Johnson-Johnson,Blue Cross,11434.77,30.67
Johnson-Levy,Medicare,12784.84,100
Johnson-Marsh,Aetna,46174.23,100
Johnson-Medina,UnitedHealthcare,48716.02,100
Johnson-Miller,UnitedHealthcare,40262.31,61.13
Johnson-Miller,Cigna,25600.23,38.87
Johnson-Moore,Cigna,29577.71,100
Johnson-Moran,Medicare,35698.37,100
Johnson-Morris,Medicare,25777.58,100
Johnson-Morrow,Medicare,33315.48,100
Johnson-Murphy,Cigna,4433.95,100
Johnson-Norris,UnitedHealthcare,31484.25,100
Johnson-Nunez,Aetna,4692.28,100
Johnson-Owens,Cigna,23371.83,100
Johnson-Parsons,UnitedHealthcare,1832.97,100
Johnson-Perry,Cigna,37070.95,83.14
Johnson-Perry,Aetna,7515.11,16.86
Johnson-Pierce,Aetna,22815.89,100
Johnson-Price,Cigna,15988.95,100
Johnson-Ray,Blue Cross,28142.69,100
Johnson-Richards,Medicare,19694.33,100
Johnson-Roberts,Medicare,5338.36,100
Johnson-Robinson,Cigna,32719.9,100
Johnson-Schmidt,Medicare,11518.85,100
Johnson-Smith,Medicare,39890.99,67.04
Johnson-Smith,Cigna,19615.08,32.96
Johnson-Taylor,Cigna,30477.16,100
Johnson-Torres,Aetna,17586.22,100
Johnson-Warren,Medicare,34251.49,100
Johnson-Webb,Aetna,18645.61,100
Johnson-Whitaker,Cigna,44866.7,70.18
Johnson-Whitaker,Medicare,19067.61,29.82
Johnson-Wood,UnitedHealthcare,42220.48,100
Johnston PLC,UnitedHealthcare,1020.34,100
Johnston and Sons,Medicare,14295.45,100
"Johnston, Davis and Gibbs",UnitedHealthcare,26946.72,100
"Johnston, Smith and Rivera",Aetna,46797.9,100
Johnston-Garcia,UnitedHealthcare,28638.77,100
Johnston-Lee,UnitedHealthcare,49554.98,100
Johnston-Miller,Cigna,13072.08,100
Johnston-Shepherd,UnitedHealthcare,11150.69,100
Johnston-Thomas,Cigna,18502.5,100
Jones Group,UnitedHealthcare,64841.7,37.5
Jones Group,Medicare,48995.82,28.34
Jones Group,Aetna,47684.4,27.58
Jones Inc,Medicare,111762.94,38.49
Jones Inc,UnitedHealthcare,107874.02,37.15
Jones Inc,Cigna,39541.66,13.62
Jones LLC,Aetna,87411.68,33.1
Jones LLC,Medicare,73616.19,27.88
Jones LLC,UnitedHealthcare,53860.04,20.39
Jones Ltd,Aetna,75110.13,37.93
Jones Ltd,Blue Cross,65988.06,33.33
Jones Ltd,UnitedHealthcare,34687.2,17.52
Jones PLC,Medicare,101869.07,94.37
Jones PLC,Blue Cross,3542.56,3.28
Jones PLC,Cigna,2530.1,2.34
Jones and Sons,UnitedHealthcare,46771.22,26.1
Jones and Sons,Cigna,46651.44,26.03
Jones and Sons,Medicare,31540.31,17.6
"Jones, Baker and Barrera",Medicare,39004.4,100
"Jones, Blackwell and Harris",Blue Cross,2003.77,100
"Jones, Bradshaw and Hanson",Blue Cross,31230.15,100
"Jones, Bridges and Paul",Blue Cross,11178.77,100
"Jones, Brown and Murray",UnitedHealthcare,18086.34,100
"Jones, Brown and Williams",Blue Cross,36072.21,100
"Jones, Cook and Fuentes",Blue Cross,37771.76,100
"Jones, Dawson and Stafford",Aetna,32325.19,100
"Jones, Duran and Schroeder",Blue Cross,14423.59,100
"Jones, Espinoza and Flores",Blue Cross,46643.84,100
"Jones, Ferguson and Frank",UnitedHealthcare,16738.01,100
"Jones, Flores and Johnson",UnitedHealthcare,47697.67,100
"Jones, Floyd and Dillon",Medicare,37180.65,100
"Jones, Gonzalez and Miller",Blue Cross,37900.3,100
"Jones, Haas and Fleming",Aetna,18012.56,100
"Jones, Hall and Medina",Medicare,20942.1,100
"Jones, Hamilton and Carlson",Blue Cross,34282.98,100
"Jones, Harris and Martin",Medicare,7963.1,100
"Jones, Harris and Ward",UnitedHealthcare,14964.07,100
"Jones, Kaiser and Park",Blue Cross,47055.45,100
"Jones, Martinez and Moore",UnitedHealthcare,1166.77,100
"Jones, Martinez and Whitehead",Aetna,2048.21,100
"Jones, Morales and Anderson",Blue Cross,32330.3,100
"Jones, Morgan and Norton",Blue Cross,14718.82,100
"Jones, Moss and Jackson",Medicare,2696.04,100
"Jones, Nelson and Horn",Cigna,39247.27,100
"Jones, Perkins and Harding",Aetna,9069.59,100
"Jones, Peterson and Roberson",Medicare,7338.19,100
"Jones, Price and Parker",Aetna,9669.68,100
"Jones, Roach and Foster",UnitedHealthcare,38587.58,100
"Jones, Rodriguez and Black",Medicare,34031.52,100
"Jones, Ruiz and Jackson",UnitedHealthcare,24016.33,100
"Jones, Smith and Nelson",Blue Cross,9925.67,100
"Jones, Taylor and Garcia",Aetna,27633.45,100
"Jones, Torres and Sanchez",Medicare,14624.45,100
"Jones, Vega and Collins",Blue Cross,21008.13,100
"Jones, Watson and Chen",Medicare,32516.29,100
"Jones, Weaver and Young",Cigna,44104.57,100
"Jones, Wilson and Salas",UnitedHealthcare,9047.33,100
"Jones, Wood and Adams",Aetna,27567.01,100
"Jones, Woods and Stevens",Medicare,2225.5,100
Jones-Austin,Cigna,4430.94,100
Jones-Dillon,Blue Cross,16887.3,100
Jones-Edwards,Blue Cross,23703.43,100
Jones-Elliott,Blue Cross,42928.07,100
Jones-Greer,Aetna,32789.18,100
Jones-Hansen,Aetna,3926.08,100
Jones-Huynh,UnitedHealthcare,36187.8,100
Jones-Jackson,Medicare,47003.79,100
Jones-Johnson,Cigna,64617.17,74.48
Jones-Johnson,Aetna,22135.74,25.52
Jones-Kent,Cigna,39038.3,100
Jones-Lane,Aetna,48900.03,100
Jones-Little,Cigna,32562.7,100
Jones-Love,Aetna,11702.52,100
Jones-Martinez,UnitedHealthcare,38851.55,100
Jones-Meyer,Aetna,38692.58,100
Jones-Miller,Aetna,18790.11,100
Jones-Owens,Cigna,7375.7,100
Jones-Perez,Blue Cross,38642.26,100
Jones-Reid,Medicare,39259.95,100
Jones-Reyes,Medicare,13284.13,100
Jones-Robinson,UnitedHealthcare,24458.11,100
Jones-Rodriguez,Aetna,25083.79,100
Jones-Smith,Aetna,46220.43,71.08
Jones-Smith,Medicare,18806.55,28.92
Jones-Torres,Medicare,13837.5,100
Jones-Walter,UnitedHealthcare,30732.69,100
Jones-Woods,Aetna,36926.37,100
Jones-Zuniga,Aetna,14051.38,100
Jordan Inc,Medicare,41969.88,100
Jordan LLC,Medicare,38341.67,100
"Jordan, Hudson and Hughes",UnitedHealthcare,34927.29,100
"Jordan, Nunez and Young",Cigna,22728.27,100
"Jordan, Sparks and Romero",UnitedHealthcare,10619.17,100
"Jordan, Williams and Williams",Medicare,28548.36,100
Jordan-Allen,Cigna,32863.9,100
Jordan-Cohen,Cigna,7886.42,100
Jordan-Glover,Aetna,36745.21,100
Jordan-Howard,Blue Cross,9363.16,100
Jordan-Lawson,UnitedHealthcare,9221.57,100
Jordan-Mata,Aetna,30277.41,100
Jordan-Miller,Medicare,32497.72,100
Jordan-Richardson,UnitedHealthcare,9368.3,100
Jordan-Romero,Blue Cross,20237.99,100
Jordan-Sosa,Medicare,20789.86,100
Jordan-Spears,Cigna,43554.55,100
Joseph LLC,Medicare,26083.01,100
Joseph PLC,Aetna,35069.39,100
"Joseph, Anderson and Flores",Aetna,20677.59,100
"Joseph, Beck and Smith",Aetna,40430.05,100
"Joseph, Mcintosh and Gomez",Medicare,46371.33,100
"Joseph, Smith and Dixon",UnitedHealthcare,12050.86,100
Joseph-Adams,Aetna,8813.63,100
Joseph-Douglas,Medicare,26680.7,100
Joseph-Moses,Aetna,46476.25,100
Joseph-Salazar,Blue Cross,14611.62,100
"Joyce, Moyer and Benson",UnitedHealthcare,19715.53,100
"Joyce, Schultz and Case",Blue Cross,7271.71,100
Juarez-Graham,Blue Cross,7602.86,100
Juarez-Krueger,Medicare,28587.76,100
Juarez-Munoz,UnitedHealthcare,3043.84,100
Juarez-Santiago,Aetna,11651.88,100
Kaiser Inc,Medicare,47444,56.66
Kaiser Inc,Blue Cross,36296.86,43.34
Kaiser LLC,Blue Cross,33266.76,100
Kane Group,Blue Cross,29628.54,100
Kane PLC,UnitedHealthcare,43164.09,100
Kane and Sons,Aetna,42093.41,100
"Kane, Olson and Cooper",UnitedHealthcare,39010.69,100
"Kane, Thompson and Meza",Cigna,6572.02,100
Kane-Alvarado,Medicare,49035.21,100
Kane-Griffith,Cigna,29585.64,100
Kane-Moore,Aetna,48030.11,100
Kane-Mosley,UnitedHealthcare,31615.33,100
Kane-White,Blue Cross,9395.85,100
Kaufman LLC,Aetna,1539.44,100
Kaufman-Johnson,Medicare,21760.27,100
Keith Inc,Blue Cross,31724.52,60.95
Keith Inc,Aetna,20322.08,39.05
Keith and Sons,Blue Cross,17340.57,100
"Keith, Berry and King",Medicare,29222.33,100
"Keith, Walker and Casey",Medicare,31291.06,100
Keith-Smith,Aetna,39075.6,100
Keller Group,Aetna,25610.64,100
Keller and Sons,Blue Cross,44514.06,100
"Keller, Gross and Hill",UnitedHealthcare,12909.3,100
"Keller, Roach and Peck",Cigna,46447.28,100
"Keller, Wagner and Gonzales",UnitedHealthcare,10475.95,100
Keller-Adams,Medicare,48089.12,100
Keller-Malone,Aetna,35777.79,100
Keller-Mills,Medicare,49180.48,100
Kelley Ltd,Blue Cross,39914.28,100
Kelley PLC,Cigna,7246.22,100
Kelley and Sons,Aetna,18077.15,100
"Kelley, Cole and Torres",Aetna,10703.42,100
"Kelley, Smith and Perkins",Cigna,40729.63,100
Kelley-Fuller,Medicare,34692.24,100
Kelley-Hoover,Cigna,38823.5,100
Kelley-Mccarthy,UnitedHealthcare,1291.19,100
Kelley-Mosley,UnitedHealthcare,22564.11,100
Kelley-Powell,Medicare,16287.98,100
Kelley-Vazquez,UnitedHealthcare,17258.32,100
Kelly Group,Aetna,39649.47,100
Kelly LLC,Medicare,54274.6,94.29
Kelly LLC,Aetna,3286.33,5.71
Kelly Ltd,Aetna,46381.34,71.35
Kelly Ltd,UnitedHealthcare,18628.38,28.65
Kelly PLC,Blue Cross,40419.16,100
Kelly and Sons,Medicare,25776.09,100
"Kelly, Flores and Johnson",UnitedHealthcare,25703.09,100
"Kelly, Koch and James",Aetna,24187.23,100
"Kelly, Preston and Rodriguez",Aetna,42953.35,100
Kelly-Anderson,Blue Cross,47805.82,100
Kelly-Evans,Blue Cross,21113.19,100
Kelly-Miles,Blue Cross,31911.17,100
Kelly-Miller,UnitedHealthcare,16290.49,100
Kelly-Patel,Medicare,23955.03,100
Kelly-Willis,Medicare,26857.81,100
Kelly-Young,Cigna,41984.89,100
Kemp Inc,Aetna,48106.17,68.02
Kemp Inc,Medicare,22617,31.98
"Kemp, Graves and Aguilar",UnitedHealthcare,21001.13,100
Kemp-Allen,UnitedHealthcare,11482.05,100
Kennedy Inc,Aetna,27862.39,100
Kennedy Ltd,UnitedHealthcare,48512.21,48.86
Kennedy Ltd,Aetna,41451.66,41.75
Kennedy Ltd,Medicare,9327.26,9.39
Kennedy PLC,Blue Cross,47317.31,100
"Kennedy, Campbell and Morales",Blue Cross,29311.23,100
"Kennedy, Garrett and Fowler",Aetna,47043.76,100
"Kennedy, Newman and Daniels",UnitedHealthcare,39276.88,100
"Kennedy, Rivas and Payne",Medicare,40368.63,100
Kennedy-Griffin,Aetna,38533.42,100
Kennedy-Love,Medicare,41565.47,100
Kennedy-Morgan,Cigna,24452.81,100
Kennedy-Robinson,Blue Cross,28410.2,100
Kennedy-Smith,Medicare,37623.28,100
"Kent, Jones and Farley",Blue Cross,31242.87,100
"Kent, Parker and Andersen",Blue Cross,8647.9,100
"Kent, Stafford and Huber",Blue Cross,15615.09,100
Kerr Group,Cigna,48665.55,89.5
Kerr Group,Blue Cross,5706.44,10.5
Kerr LLC,Aetna,38872.65,100
Kerr and Sons,UnitedHealthcare,48443.03,100
"Kerr, Gonzales and Espinoza",Cigna,35209.37,100
"Key, Jackson and Knox",Aetna,41057.72,100
"Key, Rowe and Thomas",Aetna,34764.98,100
Key-Williams,UnitedHealthcare,38171.68,100
Khan and Sons,Cigna,10023.97,100
"Khan, Daniels and Foley",Aetna,20367.03,100
Kim PLC,Aetna,3083.16,100
Kim and Sons,Cigna,54357.81,64.06
Kim and Sons,Blue Cross,30491.82,35.94
"Kim, Parker and Thompson",Blue Cross,49136.02,100
Kim-Fox,Blue Cross,32826.24,100
Kim-Horne,UnitedHealthcare,30726.95,100
Kim-Jenkins,UnitedHealthcare,4310.32,100
Kim-Lowe,Cigna,30566.48,100
Kim-Morgan,UnitedHealthcare,4662.78,100
Kim-Morris,Cigna,20926.3,100
Kim-Scott,Cigna,8916.92,100
Kim-Stevens,Blue Cross,24899.34,100
Kim-Taylor,Cigna,13939.46,100
King Group,UnitedHealthcare,61608.59,58.1
King Group,Aetna,38896.74,36.68
King Group,Cigna,5538.86,5.22
King Inc,Aetna,26287.5,87.22
King Inc,Cigna,3852.74,12.78
King LLC,Aetna,29279.01,100
King Ltd,UnitedHealthcare,25312.27,49.79
King Ltd,Cigna,21941.01,43.16
King Ltd,Blue Cross,3586.07,7.05
King PLC,UnitedHealthcare,19452.34,100
King and Sons,Aetna,39484.59,45.78
King and Sons,Medicare,29244.58,33.91
King and Sons,UnitedHealthcare,17514.34,20.31
"King, Ford and Walsh",Blue Cross,3296.15,100
"King, Jackson and Glenn",Medicare,36302.95,100
"King, Lopez and Strickland",Cigna,27535.21,100
"King, Morris and Baker",UnitedHealthcare,35356.44,100
"King, Newton and Smith",UnitedHealthcare,2996.66,100
"King, Smith and Buckley",Blue Cross,36094.09,100
"King, Taylor and Robinson",Medicare,27887.52,100
King-Anderson,Aetna,28491.07,100
King-Baker,Blue Cross,39757.65,100
King-Bradford,Medicare,24977.8,100
King-Brown,Cigna,42797.49,100
King-Evans,UnitedHealthcare,48777.68,100
King-Good,UnitedHealthcare,11555.29,100
King-James,UnitedHealthcare,45009.83,100
King-Knight,Blue Cross,22166.08,100
King-Lindsey,Cigna,12757.65,100
King-Lucas,Cigna,32513.21,100
King-Mejia,Medicare,10240.04,100
King-Morgan,UnitedHealthcare,47923.56,100
King-Reynolds,Cigna,35307.2,100
King-Salazar,Medicare,26241.96,100
King-Williams,Cigna,44204.36,100
King-Wright,Blue Cross,46032.58,100
Kirby Group,Cigna,31228.27,100
"Kirby, Valdez and Le",Medicare,25212.63,100
Kirby-Brown,Aetna,43828.07,100
Kirby-Reed,Medicare,17266.82,100
Kirk Group,Aetna,16965.89,100
Kirk-Roach,UnitedHealthcare,3012.39,100
Klein Group,Blue Cross,41172.06,100
Klein Inc,Medicare,42360.52,59.11
Klein Inc,Cigna,29305.8,40.89
Klein PLC,Cigna,47817.88,100
"Klein, Jones and Torres",Cigna,49637.53,100
"Klein, Parks and Knight",Medicare,29055.4,100
"Klein, Spencer and Andrews",Aetna,31725.74,100
Klein-Jackson,UnitedHealthcare,36776.93,100
Klein-Kelly,UnitedHealthcare,7505.18,100
Kline PLC,Medicare,31431.38,100
"Kline, Turner and Oliver",UnitedHealthcare,19307.4,100
Kline-Flores,UnitedHealthcare,15178.11,100
Knapp Ltd,Blue Cross,2325.24,100
Knapp PLC,Medicare,10410.23,100
Knapp and Sons,Aetna,33491.08,100
Knapp-Hardy,UnitedHealthcare,4033.1,100
Knight Inc,Medicare,6413,100
Knight LLC,UnitedHealthcare,18404.56,100
Knight PLC,UnitedHealthcare,29017.23,46.77
Knight PLC,Cigna,18423.27,29.69
Knight PLC,Aetna,14604.73,23.54
"Knight, Mitchell and Perez",UnitedHealthcare,49354.89,100
"Knight, Moore and Hoffman",Blue Cross,5656.98,100
"Knight, Perry and Vargas",Aetna,39829.48,100
"Knight, Turner and Collins",Medicare,27417.46,100
Knight-Higgins,UnitedHealthcare,4318.32,100
Knight-Lane,Aetna,35350.9,100
Knight-Long,Medicare,33081.63,100
Knight-Lopez,Blue Cross,41191.93,100
Knight-Marshall,UnitedHealthcare,23271.65,100
Knight-Pena,Cigna,37502.4,100
Knox Ltd,Blue Cross,18815.49,100
Knox PLC,UnitedHealthcare,6671.01,100
"Knox, Anderson and Robinson",Medicare,36842.57,100
"Knox, Huff and Russo",Cigna,28951.03,100
"Knox, Tate and Miller",Medicare,6738.41,100
Koch-Lynn,Aetna,37549.91,100
Koch-Maxwell,Medicare,40337.83,100
Koch-Reynolds,UnitedHealthcare,3380.77,100
Koch-Williams,Aetna,28223.97,100
Kramer Ltd,UnitedHealthcare,15957.61,100
"Kramer, Carroll and Rodriguez",Cigna,10199.25,100
"Kramer, Harrison and Wallace",UnitedHealthcare,49667.37,100
"Kramer, Osborne and Green",UnitedHealthcare,35546.88,100
Krause PLC,Aetna,32596.97,100
Krueger PLC,Medicare,3365.15,100
"Lam, Rodriguez and Berger",Aetna,16457.33,100
Lamb and Sons,Cigna,22688.84,100
"Lamb, Graves and Morgan",Aetna,38983.4,100
Lamb-Martin,Cigna,40025.17,100
Lambert Group,Aetna,11525.16,100
Lambert Ltd,Blue Cross,8839.56,100
Lambert PLC,Blue Cross,41036.07,61.54
Lambert PLC,Aetna,25646.98,38.46
Lambert and Sons,Blue Cross,14691.25,100
"Lambert, Keith and Turner",UnitedHealthcare,40806.32,100
"Lambert, Moore and Kline",Medicare,6282.55,100
Lambert-Cardenas,UnitedHealthcare,1243.97,100
Landry Inc,Medicare,26454.54,100
Landry LLC,Blue Cross,46774.61,100
Landry and Sons,Medicare,41605.85,100
"Landry, Briggs and Pitts",Cigna,25129.18,100
Lane Group,Medicare,39397.53,100
Lane and Sons,Cigna,28481.46,100
Lane-Black,UnitedHealthcare,22130.22,100
Lane-Davidson,Medicare,13752.62,100
Lane-Martin,Medicare,13729.78,100
Lane-Quinn,Cigna,45847.12,100
Lane-Sanchez,Medicare,12905.96,100
"Lang, Larson and Newton",UnitedHealthcare,42943.96,100
Lang-Patel,Cigna,49424.28,100
Lara Group,UnitedHealthcare,36587.26,100
Lara Ltd,Blue Cross,29017.35,100
"Lara, Cardenas and Simon",Medicare,30799.12,100
"Lara, Curtis and Lopez",Cigna,28656.61,100
"Lara, Ward and Brown",Blue Cross,44535.25,100
"Lara, Young and Butler",Medicare,42520.49,100
Lara-Barker,UnitedHealthcare,37918.22,100
Lara-Hernandez,Aetna,34613.16,100
Lara-Hughes,Blue Cross,41835.31,100
Lara-Johnson,UnitedHealthcare,2785.7,100
Lara-Miller,Blue Cross,20459.42,100
Lara-Torres,Medicare,31633.73,100
"Larsen, Smith and Christian",Medicare,28388.9,100
Larsen-Johnson,Aetna,20225.09,100
Larson Ltd,UnitedHealthcare,5079.58,61.89
Larson Ltd,Blue Cross,3128.34,38.11
Larson and Sons,Blue Cross,49559.2,63.51
Larson and Sons,Cigna,28475.72,36.49
"Larson, Clay and Smith",Cigna,1297.13,100
"Larson, Cohen and Weiss",UnitedHealthcare,36351.93,100
"Larson, Rodriguez and Barnett",Cigna,1491.43,100
Larson-Garza,Blue Cross,35696.86,100
Larson-King,Cigna,12083.69,100
Larson-Montgomery,Cigna,17171.2,100
"Lawrence, Brown and Cochran",Cigna,31646.14,100
"Lawrence, Davidson and Turner",Blue Cross,30764.88,100
"Lawrence, Johnson and Zamora",Cigna,6397.18,100
Lawrence-Hall,UnitedHealthcare,19356.08,100
Lawrence-Jackson,UnitedHealthcare,30453.29,100
Lawrence-Mcintyre,Aetna,28045.69,100
Lawrence-Young,Aetna,13709.62,100
Lawson Inc,Blue Cross,27608.16,95.48
Lawson Inc,UnitedHealthcare,1308.45,4.52
Lawson LLC,UnitedHealthcare,21341.24,100
Lawson Ltd,UnitedHealthcare,35815.46,100
Lawson and Sons,UnitedHealthcare,31066.97,100
"Lawson, Chambers and Roach",Aetna,32974.02,100
"Lawson, Hayden and Collins",Medicare,26925.9,100
"Lawson, Holland and Chen",Aetna,24195.67,100
"Lawson, Howell and Coleman",Aetna,49371.11,100
"Lawson, Vaughan and Hahn",UnitedHealthcare,19683.04,100
Lawson-Glass,Medicare,6120.78,100
Lawson-Gomez,Medicare,23600.11,100
Lawson-Phillips,Cigna,47714.51,100
Lawson-Sutton,Blue Cross,19462.6,100
Lawson-Watts,Blue Cross,14580.83,100
Le Group,UnitedHealthcare,43012.32,100
Le LLC,Cigna,38772.29,100
"Le, Casey and Boyer",Blue Cross,32613.24,100
